place,grav,sexe,trajet,secu1,secu2,lum,agg,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,senc,catv,obs,obsm,choc,manv,motor,Hour,DayOfWeek,Month,Age
1,4,1,1,2,6,5,2,1,1,3,49.0081617344,2.3832768202,3,3,4,0,2,1,1,0,1,50,1,31,0,2,7,1,1,19,2,12,48.0
1,1,1,1,8,-1,5,2,1,1,3,49.0081617344,2.3832768202,3,3,4,0,2,1,1,0,1,50,1,10,0,2,8,13,1,19,2,12,27.0
1,4,2,1,8,0,1,2,3,1,3,48.880491,2.312992,4,3,6,1,2,1,1,-1,5,50,2,1,0,2,1,1,5,11,2,10,28.0
1,1,1,4,1,0,1,2,3,1,3,48.880491,2.312992,4,3,6,1,2,1,1,-1,5,50,2,10,0,2,3,22,1,11,2,10,25.0
1,4,1,5,2,6,5,2,1,1,7,48.8084628681,3.0777722016,9,2,2,0,1,1,1,0,1,50,1,32,0,0,8,1,1,19,3,11,24.0
1,4,2,0,1,0,1,2,2,8,3,48.88789,2.13609,4,2,2,0,1,1,2,0,1,50,3,7,0,2,3,1,1,12,5,11,37.0
1,3,2,5,1,0,1,2,2,8,3,48.88789,2.13609,4,2,2,0,1,1,2,0,1,50,3,7,0,2,2,1,3,12,5,11,43.0
1,4,1,9,1,0,5,2,9,2,6,48.7695,2.48266,4,2,2,0,1,1,2,0,1,50,3,7,14,0,2,0,1,1,3,10,39.0
1,4,1,9,2,0,5,2,3,1,6,48.848988,2.334113,4,2,2,0,1,1,1,0,1,30,2,33,8,0,1,1,1,21,5,10,43.0
1,4,2,1,1,-1,1,1,1,1,2,49.0406586712,2.0819080787,1,3,6,0,1,1,1,0,1,90,2,7,0,2,4,2,1,9,2,6,47.0
1,4,2,1,1,-1,1,1,1,1,2,49.0406586712,2.0819080787,1,3,6,0,1,1,1,0,1,90,2,7,0,2,1,1,1,9,2,6,28.0
1,1,1,1,1,0,2,2,3,1,6,48.8131,2.03483,3,2,4,0,1,1,1,0,1,50,2,7,0,1,1,26,1,7,0,11,25.0
1,1,1,9,2,6,1,2,3,1,6,48.86703,2.352976,4,2,5,0,1,1,1,0,1,30,1,32,0,1,8,1,1,17,0,10,55.0
1,4,1,1,1,4,1,1,9,1,3,48.422836,1.960191,9,2,2,0,1,1,1,0,1,80,2,7,0,0,2,1,1,6,1,6,48.0
